TEN DON VI,HE THONG,SYSTEM CODE,KA,SUP,SALE,PG,QUAN,VUNG MIEN,TINH/THANH,NAM,THANG
AEON CITI CAO THANG,AEON CITI,CITI_CTHANG,KA HCM2,LE NAM PHUONG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2023,12
AEON CITI ECOPARK,AEON CITI,CITI_ECP,KA HCM2,LE NAM PHUONG,VACANCY,"""NO PG""",,HA NOI,MIEN BAC,2023,12
AEON CITI GARDEN PLAZA,AEON CITI,CITI_PLA,KA HCM2,LE NAM PHUONG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2023,12
AEON CITI GREEN VIEW,AEON CITI,CITI_NLB,KA HCM2,LE NAM PHUONG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2023,12
AEON CITI HA NOI TOWER,AEON CITI,CITI_TOW,KA HCM2,LE NAM PHUONG,VACANCY,"""NO PG""",,HA NOI,MIEN BAC,2023,12
AEON CITI HIM LAM QUAN 6,AEON CITI,CITI_HLAM6,KA HCM2,LE NAM PHUONG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2023,12
AEON CITI HIM LAM QUAN 7,AEON CITI,CITI_HLAM7,KA HCM2,LE NAM PHUONG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2023,12
AEON CITI HUNG VUONG,AEON CITI,CITI_HVUONG,KA HCM2,LE NAM PHUONG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2023,12
AEON CITI INDOCHINA,AEON CITI,CITI_IND,KA HCM2,LE NAM PHUONG,VACANCY,"""NO PG""",,HA NOI,MIEN BAC,2023,12
AEON CITI KHO PHAN PHOI SI MIEN NAM,AEON CITI,CITI_KHO,KA HCM2,LE NAM PHUONG,"""NO SALE""","""NO PG""",,TP HCM,HCM,2023,12
AEON CITI NAM LONG,AEON CITI,CITI_NLONG,KA HCM2,LE NAM PHUONG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2023,12
AEON CITI NEW SAI GON,AEON CITI,CITI_NEWSG,KA HCM2,LE NAM PHUONG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2023,12
AEON CITI NHA TRANG,AEON CITI,CITI_NTRANG,KA HCM2,LE NAM PHUONG,"""NO SALE""","""NO PG""",,NHA TRANG,DUYEN HAI NAM TRUNG BO,2023,12
AEON CITI NHA TRANG 2,AEON CITI,CITI_NTRANG2,KA HCM2,LE NAM PHUONG,"""NO SALE""","""NO PG""",,NHA TRANG,DUYEN HAI NAM TRUNG BO,2023,12
AEON CITI PARKSON QUAN 5,AEON CITI,CITI_PAR5,KA HCM2,LE NAM PHUONG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2023,12
AEON CITI PHUC YEN,AEON CITI,CITI_PYEN,KA HCM2,LE NAM PHUONG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2023,12
AEON CITI RES 11,AEON CITI,CITI_RES11,KA HCM2,LE NAM PHUONG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2023,12
AEON CITI SOMMERSET,AEON CITI,CITI_NTMK,KA HCM2,LE NAM PHUONG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2023,12
AEON CITI SUNRISE CITY,AEON CITI,CITI_SUNRISE,KA HCM2,LE NAM PHUONG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2023,12
AEON CITI TROPIC QUAN 2,AEON CITI,CITI_TROPIC,KA HCM2,LE NAM PHUONG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2023,12
AEON HA DONG,AEON,AEON_HDONG_RDC,KA HCM1,LE NAM PHUONG,LE THI HONG DIEP,"""NO PG""",,HA NOI,MIEN BAC,2023,12
AEON HAI PHONG,AEON,AEON_HPHONG_RDC,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,HAI PHONG,MIEN BAC,2023,12
AEON LONG BIEN,AEON,AEON_LBIEN_RDC,KA HCM1,LE NAM PHUONG,LE THI HONG DIEP,"""NO PG""",,HA NOI,MIEN BAC,2023,12
AEON NEWTON,AEON,AEON_GBNEWTON_RDC,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,HAI PHONG,MIEN BAC,2023,12
AEON TAN PHU,AEON,AEON_TPHU_RDC,KA HCM1,LE NAM PHUONG,VU THUY MINH THAO,"""NO PG""",,TP HCM,HCM,2023,12
AN NAM FELIZ,AN NAM,SD_FELIZ,KA HCM3,LU DIEU QUANG,TRAN THI THAO NGUYEN,"""NO PG""",,,,2023,12
AN NAM HAI BA TRUNG,AN NAM,SD_HBT,KA HCM2,LU DIEU QUANG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2023,12
AN NAM LANDMART 81,AN NAM,SD_LAND81,KA HCM3+D285:J285,LU DIEU QUANG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2023,12
AN NAM LE LOI,AN NAM,SD_LLOI,KA HCM2,LU DIEU QUANG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2023,12
AN NAM LONG BIEN,AN NAM,SD_LBIEN,KA HCM2,LU DIEU QUANG,LE THI HONG DIEP,"""NO PG""",,,,2023,12
AN NAM NGUYEN DUC CANH,AN NAM,SD_NDC,KA HCM2,LU DIEU QUANG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2023,12
AN NAM NGUYEN HUU CANH,AN NAM,SD_NHC,KA HCM2,LU DIEU QUANG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2023,12
AN NAM NGUYEN LUONG BANG,AN NAM,SD_NLB,KA HCM2,LU DIEU QUANG,TRAN THI THAO NGUYEN,"""NO PG""",,,,2023,12
AN NAM NGUYEN VAN TROI,AN NAM,SD_NVT,KA HCM2,LU DIEU QUANG,TRAN THI THAO NGUYEN,"""NO PG""",,,,2023,12
AN NAM SONG HANH,AN NAM,SD_SH,KA HCM2,LU DIEU QUANG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2023,12
AN NAM SYRENA,AN NAM,SD_SYRENA,KA HCM2,LU DIEU QUANG,LE THI HONG DIEP,"""NO PG""",,,,2023,12
AN NAM TERACE,AN NAM,SD_TERRACE,KA HCM2,LU DIEU QUANG,TRAN THI THAO NGUYEN,"""NO PG""",,,,2023,12
AN NAM THAO DIEN,AN NAM,SD_TDIEN,KA HCM2,LU DIEU QUANG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2023,12
AN NAM THU DUC,AN NAM,SD_TDUC,KA HCM2,LU DIEU QUANG,TRAN THI THAO NGUYEN,"""NO PG""",,,,2023,12
AN NAM TIMESCITY,AN NAM,SD_TIMESCITY,KA HCM2,LU DIEU QUANG,LE THI HONG DIEP,"""NO PG""",,,,2023,12
AN NAM VINSMART,AN NAM,SD_VINSMART,KA HCM2,LU DIEU QUANG,LE THI HONG DIEP,"""NO PG""",,,,2023,12
BACH HOA XANH AN KHANG,BHX,BHX_ANKHANG,KA HCM1,LE NAM PHUONG,"""NO SALE""","""NO PG""",,TP HCM,,2023,12
BACH HOA XANH BAC LIEU,BHX,BHX_7085_BLI,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,MIEN TAY,,2023,12
BACH HOA XANH BEN TRE,BHX,BHX_7000_BTRE,KA HCM4,LE NAM PHUONG,VACANCY,"""NO PG""",,MIEN TAY,,2023,12
BACH HOA XANH BUON ME THUOT,BHX,BHX_6450_BMT,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,MIEN TAY,,2023,12
BACH HOA XANH CAN DUOC,BHX,BHX_7234_CDUOC,KA HCM5,LE NAM PHUONG,VACANCY,"""NO PG""",,MIEN TAY,,2023,12
BACH HOA XANH CAN DUOC,BHX,BHX_10760_CDUOC,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,,,2023,12
BIG C HONG NGU,BIG C,BIGC_HNGU,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,,,2023,12
COOP DONG VAN CONG 1,COOP MART,COOP_DVC1,KA HCM2,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2023,12
COOP BINH LOI,COOP MART,COOP_NQ_BLOI,KA HCM2,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2023,12
COOPFOOD KRISTA,COOPFOOD,COOP_F_KRISTA,KA HCM2,LU DIEU QUANG,LE NHAT TAN,"""NO PG""",,,,2023,12
COOPFOOD CARINA,COOPFOOD,COOP_F_CARINA,KA HCM2,LU DIEU QUANG,LE NHAT TAN,"""NO PG""",,,,2023,12
EMART PHAN HUY ICH,EMART,4812_PHI,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,,,2023,12
COOPFOOD VAN KIEP,COOPFOOD,COOP_F_VKIEP,KA HCM2,LU DIEU QUANG,LE NHAT TAN,"""NO PG""",,,,2023,12
COOPFOOD LACASA,COOPFOOD,COOP_F_LACASA,KA HCM2,LU DIEU QUANG,LE NHAT TAN,"""NO PG""",,,,2023,12
COOPFOOD DAT MOI,COOPFOOD,COOP_F_DMOI,KA HCM2,LU DIEU QUANG,LE NHAT TAN,"""NO PG""",,,,2023,12
COOPFOOD LAC LONG QUAN,COOPFOOD,COOP_F_LLQ542,KA HCM2,LU DIEU QUANG,VACANCY,"""NO PG""",,,,2023,12
COOPFOOD GARDEN,COOPFOOD,COOP_F_GARDEN,KA HCM2,LU DIEU QUANG,VACANCY,"""NO PG""",,,,2023,12
COOPFOOD TAY THANH,COOPFOOD,COOP_F_TTHANH,KA HCM2,LU DIEU QUANG,VACANCY,"""NO PG""",,,,2023,12
BIG C THANH BINH,BIG C,BIGC_TBINH,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,,,2023,12
COOP LY THUONG KIET,COOP MART,COOP_LTK,KA HCM2,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2023,12
BACH HOA XANH CHAU THANH A,BHX,BHX_5060_CTHANHA,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,MIEN TAY,,2023,12
BACH HOA XANH DIEN KHANH,BHX,BHX_7200_DKHANH,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,MIEN TAY,,2023,12
BACH HOA XANH DONG PHU,BHX,BHX_7866_DPHU,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,TP HCM,,2023,12
BACH HOA XANH DUC HOA,BHX,BHX_10864_ONLDHOA,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,,,2023,12
BACH HOA XANH DUC TRONG,BHX,BHX_8030_DTRONG,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,MIEN DONG,,2023,12
BACH HOA XANH GO VAP,BHX,BHX_8681_GVAP,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,TPHCM,,2023,12
BACH HOA XANH HAM THUAN,BHX,BHX_7211_HTA,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,MIEN TAY,,2023,12
BACH HOA XANH HOA THANH,BHX,BHX_6960_HTHANH,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,MIEN DONG,MIEN DONG NAM BO,2023,12
BACH HOA XANH KHO LONG BINH,BHX,BHX_4089_LBINH,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,DONG NAI,MIEN DONG NAM BO,2023,12
BACH HOA XANH KHO NHA BE,BHX,BHX_6655_NHBE,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,TP HCM,HCM,2023,12
BACH HOA XANH KHO TRAN DAI NGHIA,BHX,BHX_3240_TDN,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,TP HCM,HCM,2023,12
BACH HOA XANH KHO TRAN DAI NGHIA ONLINE,BHX,BHX_27889_ONLTDN,KA HCM2,LE NAM PHUONG,VACANCY,"""NO PG""",,,,2023,12
BACH HOA XANH KHO VINH LOC,BHX,BHX_1522_VLOC,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,TP HCM,HCM,2023,12
BACH HOA XANH KIEN GIANG,BHX,BHX_9899_TPHU,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,TPHCM,,2023,12
BACH HOA XANH MAI DAM,BHX,BHX_5664_MDAM,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,TP HCM,,2023,12
BACH HOA XANH MY THO,BHX,BHX_4014_MTHO,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,MIEN TAY,,2023,12
BIG C DIEN BAN,BIG C,BIGC_DBAN,KA HCM2,LE NAM PHUONG,VACANCY,"""NO PG""",,,,2023,12
KING FOOD QUOC LO 50,KING FOOD,6209_QL50,KA HCM2,LU DIEU QUANG,VACANCY,"""NO PG""",,,,2023,12
KING FOOD DO XUAN HOP,KING FOOD,6209_DXHOP,KA HCM2,LU DIEU QUANG,VACANCY,"""NO PG""",,,,2023,12
KING FOOD BINH QUOI,KING FOOD,6209_BQUOI,KA HCM3,LU DIEU QUANG,VACANCY,"""NO PG""",,,,2023,12
COOPFOOD NHA BE,COOP FOOD,COOP_F_NBE,KA HCM4,LU DIEU QUANG,VACANCY,"""NO PG""",,,,2023,12
COOPFOOD PHAM THE HIEN 2,COOP FOOD,COOP_F_PTHIEN2,KA HCM2,LU DIEU QUANG,VACANCY,"""NO PG""",,,,2023,12
ACE VIVOCITY,ACE,ACE_VIVO,KA HCM1,LE NAM PHUONG,VU THUY MINH THAO,"""NO PG""",,,,2023,12
COOPFOOD TAY BAC,COOP FOOD,COOP_F_TBAC,KA HCM2,LU DIEU QUANG,LE NHAT TAN,"""NO PG""",,,,2023,12
COOPFOOD KDC HOA THANH,COOP FOOD,COOP_F_KDCHTHANHIII,KA HCM2,LU DIEU QUANG,LE NHAT TAN,"""NO PG""",,,,2023,12
COOPFOOD QUACH DINH BAO,COOP FOOD,COOP_F_QDBAO,KA HCM2,LU DIEU QUANG,LE NHAT TAN,"""NO PG""",,,,2023,12
COOPFOOD MAN  THIEN 126,COOP FOOD,COOP_F_MTHIEN126,KA HCM2,LU DIEU QUANG,LE NHAT TAN,"""NO PG""",,,,2023,12
COOPFOOD HOANG QUAN,COOP FOOD,COOP_F_HQUAN,KA HCM2,LU DIEU QUANG,LE NHAT TAN,"""NO PG""",,,,2023,12
COOPFOOD TRAN VAN DANH,COOP FOOD,COOP_F_TVDANH,KA HCM2,LU DIEU QUANG,LE NHAT TAN,"""NO PG""",,,,2023,12
COOPFOOD PHAN VAN TRI,COOP FOOD,COOP_F_PVTRI,KA HCM2,LU DIEU QUANG,LE NHAT TAN,"""NO PG""",,,,2023,12
COOPFOOD DO XUAN HOP,COOP FOOD,COOP_F_DXHOP729,KA HCM2,LU DIEU QUANG,LE NHAT TAN,"""NO PG""",,,,2023,12
COOPFOOD PHONG PHU,COOP FOOD,COOP_F_PPHU88,KA HCM2,LU DIEU QUANG,LE NHAT TAN,"""NO PG""",,,,2023,12
COOPFOOD LY CHIEU HOANG,COOP FOOD,COOP_F_LCHOANG113,KA HCM2,LU DIEU QUANG,LE NHAT TAN,"""NO PG""",,,,2023,12
COOPFOOD  DRAGON HILL,COOP FOOD,COOP_F_NHT,KA HCM3,LU DIEU QUANG,LE NHAT TAN,"""NO PG""",,,,2023,12
COOPFOOD SUNRISE,COOP FOOD,COOP_F_SUNRISE,KA HCM4,LU DIEU QUANG,LE NHAT TAN,"""NO PG""",,,,2023,12
COOPFOOD TAN HOA,COOP FOOD,COOP_F_TANHOA,KA HCM2,LU DIEU QUANG,LE NHAT TAN,"""NO PG""",,,,2023,12
COOPFOOD TAN LAP,COOP FOOD,COOP_F_TANLAP,KA HCM2,LU DIEU QUANG,LE NHAT TAN,"""NO PG""",,,,2023,12
COOPFOOD BONG SAO,COOP FOOD,COOP_F_BSAO,KA HCM2,LU DIEU QUANG,LE NHAT TAN,"""NO PG""",,,,2023,12
KING FOOD NGUYEN THI DINH,KING FOOD,6209_NTD,KA HCM2,LU DIEU QUANG,TRAN THI THAO NGUYEN,"""NO PG""",,,,2023,12
COOPFOOD CHO LON,COOP FOOD,COOP_F_CHOLON,KA HCM2,LU DIEU QUANG,LE NHAT TAN,"""NO PG""",,,,2023,12
COOPFOOD BAC HA,COOP FOOD,COOP_FL_BACHA,KA HCM3,LU DIEU QUANG,LE NHAT TAN,"""NO PG""",,,,2023,12
BACH HOA XANH OL VINH LOC,BHX,BHX_13935_ONLVLOC,KA HCM1,LE NAM PHUONG,VACANCY - PHU,"""NO PG""",,,,2023,12
BACH HOA XANH PHU MY,BHX,BHX_7161_PMY,KA HCM2,LE NAM PHUONG,VACANCY - PHU,"""NO PG""",,TPHCM,,2023,12
BACH HOA XANH TAN PHU TRUNG,BHX,BHX_6911_KGIANG,KA HCM1,LE NAM PHUONG,VACANCY - PHU,"""NO PG""",,TPHCM,,2023,12
BACH HOA XANH THOT NOT,BHX,BHX_5058_TNOT,KA HCM3,LE NAM PHUONG,"""NO SALE""","""NO PG""",,MIEN TAY,,2023,12
BACH HOA XANH THU DUC,BHX,BHX_9814_TDUC,KA HCM1,LE NAM PHUONG,VACANCY - PHU,"""NO PG""",,TPHCM,,2023,12
BACH HOA XANH THUAN AN,BHX,BHX_5851_THAN,KA HCM1,LE NAM PHUONG,VACANCY - PHU,"""NO PG""",,TPHCM,,2023,12
BIG C AN LAC,BIG C,BIGC_ANLAC,KA HCM1,LE NAM PHUONG,NGUYEN THI OANH,"""NO PG""",,TP HCM,HCM,2023,12
BIG C AN PHU,BIG C,BIGC_ANPHU,KA HCM1,LE NAM PHUONG,NGUYEN THI OANH,"""NO PG""",,TP HCM,HCM,2023,12
BIG C AU CO,BIG C,BIGC_AUCO,KA HCM1,LE NAM PHUONG,NGUYEN THI OANH,"""NO PG""",,TP HCM,HCM,2023,12
BIG C BAC GIANG,BIG C,BIGC_BGIANG,KA HCM1,LE NAM PHUONG,VACANCY - PHU,"""NO PG""",,BAC GIANG,MIEN DONG BAC BO,2023,12
BIG C BEN TRE,BIG C,BIGC_GO_BTRE,KA HCM1,LE NAM PHUONG,VACANCY - PHU,"""NO PG""",,BEN TRE,DONG BANG SONG CUU LONG,2023,12
BIG C BINH DUONG,BIG C,BIGC_BDUONG,KA HCM1,LE NAM PHUONG,VACANCY - PHU,"""NO PG""",,BINH DUONG,MIEN DONG NAM BO,2023,12
BIG C CAN THO,BIG C,BIGC_CTHO,KA HCM1,LE NAM PHUONG,"""NO SALE""","""NO PG""",,CAN THO,MIEN TAY,2023,12
BIG C DA LAT,BIG C,BIGC_DLAT,KA HCM1,LE NAM PHUONG,VACANCY - PHU,"""NO PG""",,LAM DONG,TAY NGUYEN,2023,12
BIG C DA NANG,BIG C,BIGC_DNANG,KA HCM1,LE NAM PHUONG,PHAM THI BINH,"""NO PG""",,DA NANG,MIEN TRUNG,2023,12
BIG C DI AN,BIG C,BIGC_DIAN,KA HCM1,LE NAM PHUONG,VACANCY - PHU,CAO THI KIM YEN,,BINH DUONG,MIEN DONG NAM BO,2023,12
BIG C DONG NAI,BIG C,BIGC_DNAI,KA HCM1,LE NAM PHUONG,TRAN THI NHAN,LUU THI CAM NHUNG,,DONG NAI,MIEN DONG NAM BO,2023,12
BIG C GARDEN MALL,BIG C,BIGC_GARDEN,KA HCM1,LE NAM PHUONG,LE THI HONG DIEP,"""NO PG""",,HA NOI,MIEN BAC,2023,12
BIG C GO BA RIA,BIG C,BIGC_GO_BRIA,KA HCM1,LE NAM PHUONG,VACANCY - PHU,"""NO PG""",,,,2023,12
BIG C GO BUON MA THUOT,BIG C,BIGC_GO_BMT,KA HCM1,LE NAM PHUONG,VACANCY - PHU,"""NO PG""",,BUON MA THUOT,MIEN TRUNG,2023,12
BIG C GO DAU,BIG C,BIGC_GO_GDAU,KA HCM1,LE NAM PHUONG,VACANCY - PHU,"""NO PG""",,,,2023,12
BIG C GO LAO CAI,BIG C,BIGC_GO_LAOCAI,KA HCM1,LE NAM PHUONG,VACANCY - PHU,"""NO PG""",,,,2023,12
BIG C GO TAM KỲ,BIG C,BIGC_GO_TKY,KA HCM1,LE NAM PHUONG,VACANCY - PHU,"""NO PG""",,,,2023,12
BIG C GO THAI BINH,BIG C,BIGC_GO_TBINH,KA HCM1,LE NAM PHUONG,VACANCY - PHU,"""NO PG""",,THAI NGUYEN,MIEN BAC TRUNG BO,2023,12
BIG C GO VAP,BIG C,BIGC_GVAP,KA HCM1,LE NAM PHUONG,NGUYEN THI OANH,"""NO PG""",,TP HCM,HCM,2023,12
BIG C RACH GIA,BIG C,BIGC_RGIA,KA HCM2,LE NAM PHUONG,VACANCY,"""NO PG""",,,,2023,12
